gpstime,lat,lon,alt,stdlat,stdlon,stdalt,roll,pitch,head,mntroll,mntpitch,mntyaw,quality,HDOP,numSV,sep
204024.7,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53379,-0.88888,19.03787,0.71,3.95,359.48,4,0.65,12,17.1
204024.9,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5291,-0.88707,19.03922,0.71,3.95,359.48,4,0.65,12,17.1
204025.0,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.5431,-0.90247,19.03969,0.71,3.95,359.48,4,0.65,12,17.1
204025.2,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.53815,-0.89725,19.0423,0.71,3.95,359.48,4,0.65,12,17.1
204025.4,24.9770185,121.5511758333,24.1,0.039,0.046,0.51,0.52065,-0.88029,19.04519,0.71,3.95,359.48,4,0.65,12,17.1
204025.5,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52092,-0.88047,19.04576,0.71,3.95,359.48,4,0.65,12,17.1
204025.7,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.51919,-0.88078,19.04629,0.71,3.95,359.48,4,0.65,12,17.1
204025.8,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.51363,-0.86931,19.04751,0.71,3.95,359.48,4,0.65,12,17.1
204026.0,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.50861,-0.86138,19.04788,0.71,3.95,359.48,4,0.65,12,17.1
204026.1,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.51356,-0.85654,19.04899,0.71,3.95,359.48,4,0.65,12,17.1
204026.3,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.53419,-0.88054,19.04954,0.71,3.95,359.48,4,0.65,12,17.1
204026.4,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.55645,-0.90181,19.04745,0.71,3.95,359.48,4,0.65,12,17.1
204026.7,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.55836,-0.91623,19.04849,0.71,3.95,359.48,4,0.65,12,17.1
204026.8,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.56187,-0.93745,19.04559,0.71,3.95,359.48,4,0.65,12,17.1
204027.0,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.5681,-0.95459,19.04421,0.71,3.95,359.48,4,0.65,12,17.1
204027.2,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.56944,-0.95908,19.04439,0.71,3.95,359.48,4,0.65,12,17.1
204027.3,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.5331,-0.88813,19.04861,0.71,3.95,359.48,4,0.65,12,17.1
204027.5,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.53284,-0.89191,19.04774,0.71,3.95,359.48,4,0.65,12,17.1
204027.6,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52839,-0.90002,19.04829,0.71,3.95,359.48,4,0.65,12,17.1
204027.8,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52748,-0.90321,19.04862,0.71,3.95,359.48,4,0.65,12,17.1
204027.9,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.53512,-0.90696,19.05262,0.71,3.95,359.48,4,0.65,12,17.1
204028.1,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.53099,-0.91173,19.05345,0.71,3.95,359.48,4,0.65,12,17.1
204028.3,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52406,-0.87791,19.05604,0.71,3.95,359.48,4,0.65,12,17.1
204028.4,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52144,-0.88125,19.05703,0.71,3.95,359.48,4,0.65,12,17.1
204028.7,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.51933,-0.88796,19.05891,0.71,3.95,359.48,4,0.65,12,17.1
204028.9,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.51921,-0.89044,19.05889,0.71,3.95,359.48,4,0.65,12,17.1
204029.0,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52123,-0.89146,19.05977,0.71,3.95,359.48,4,0.65,12,17.1
204029.2,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52187,-0.89106,19.05981,0.71,3.95,359.48,4,0.65,12,17.1
204029.3,24.9770185,121.551176,24.1,0.039,0.046,0.51,0.52714,-0.87581,19.06236,0.71,3.95,359.48,4,0.65,12,17.1
204029.5,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.52576,-0.87974,19.0657,0.71,3.95,359.48,4,0.65,12,17.1
204029.7,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.5225,-0.88193,19.06702,0.71,3.95,359.48,4,0.65,12,17.1
204029.9,24.9770185,121.551176,24.2,0.039,0.046,0.51,0.5246,-0.87784,19.06792,0.71,3.95,359.48,4,0.65,12,17.1
